"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","mxpsd","max","fog","NUM_COLLISIONS"
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,15,79,1,0.104233997255285
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,19,79,0,-0.367645506969879
"198",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,14,70,0,0.122383208956253
"199",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,12,71.1,0,-0.00466127295052188
"200",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,9.9,75.9,1,0.0679355738533496
"201",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,12,72,1,0.0407117563018978
"202",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,13,75.9,1,-0.249675630913588
"203",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,11.1,88,1,0.204054661610609
"204",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,11.1,88,1,-0.168004178259233
"205",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,14,82,1,0.213129267461092
"206",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,11.1,81,1,0.0316371504514138
"207",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,11.1,80.1,1,-0.158929572408749
"208",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,17.1,82,0,0.0407117563018978
"209",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,15.9,84.9,1,0.104233997255285
"210",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,14,84.9,0,-0.0954073314553612
"211",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,11.1,82.9,0,0.0860847855543174
"212",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,13,82.9,1,-0.0772581197543933
"213",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,12,80.1,1,0.312949931816416
"214",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,11.1,82.9,1,0.603337319031902
"215",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,15,82.9,1,-0.204302601661168
"216",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,15,82,1,0.403695990321255
"217",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,24.1,82,1,1.29300736366868
"218",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,17.1,81,0,0.331099143517384
"219",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,11.1,84.9,1,0.430919807872707
"220",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,12,84.9,1,0.258502296713512
"221",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,8.9,75.9,1,-0.440242353773751
"222",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,12,78.1,0,-0.23152641921262
"223",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,15,80.1,0,0.104233997255285
